,Year,Month,Departure station,Arrival station,Average travel time (min),Number of expected circulations,Number of cancelled trains,Number of trains late on arrival,Average delay of late arriving trains (min),Average delay of all arriving trains (min),Number of late trains > 15min,Average train delay > 15min,Number of late trains > 30min,Number of late trains > 60min,Delay due to external causes,Delay due to railway infrastructure,Delay due to traffic management,Delay due to rolling stock,Delay due to station management and reuse of material,Delay due to travellers taken into account
3523,2016,5,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.51530612239999,196,0,11,13.0,0.994897959184,3,26.6666667,0,0,27.2727272727,36.3636363636,18.1818181818,18.1818181818,0.0,0.0
3524,2016,5,PARIS MONTPARNASSE,ST MALO,185.524509804,102,0,8,27.0,3.93137254902,7,28.7142857,2,0,25.0,37.5,0.0,0.0,12.5,25.0
3525,2016,6,MACON LOCHE,PARIS LYON,99.4695945946,148,43,30,30.3,7.689189189189999,22,36.7272727,11,3,20.0,43.3333333333,13.3333333333,6.666666666669999,10.0,6.666666666669999
3526,2016,6,MARSEILLE ST CHARLES,PARIS LYON,198.246153846,390,64,43,76.3720930233,8.68205128205,43,76.372093,33,21,51.2195121951,31.7073170732,2.43902439024,7.31707317073,7.31707317073,0.0
3527,2016,6,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,170.1953125,64,8,10,31.8,7.046875,6,43.6666667,3,2,20.0,20.0,20.0,10.0,20.0,10.0
3528,2016,6,TOULON,PARIS LYON,235.208133971,209,79,30,68.3,9.88038277512,30,68.3,21,16,36.6666666667,36.6666666667,6.666666666669999,6.666666666669999,10.0,3.3333333333299984
3529,2016,6,PARIS MONTPARNASSE,ANGOULEME,159.636752137,234,82,31,26.3225806452,4.52991452991,19,35.0526316,10,3,30.0,40.0,10.0,10.0,10.0,0.0
3530,2016,6,FRANCFORT,PARIS EST,99.8289473684,76,0,15,19.6666666667,6.07894736842,8,25.75,2,0,6.666666666669999,6.666666666669999,86.6666666667,0.0,0.0,0.0
3532,2017,10,PARIS NORD,ARRAS,49.2305194805,309,1,39,18.8256410256,2.11980519481,16,2.11980519481,7,1,55.5555555556,7.407407407409999,7.407407407409999,22.2222222222,7.407407407409999,0.0
3533,2016,3,PARIS LYON,DIJON VILLE,95.8351528384,458,11,15,27.7333333333,0.92576419214,11,33.5454545,6,0,26.6666666667,13.3333333333,13.3333333333,13.3333333333,33.333333333300004,0.0
3534,2016,3,PARIS LYON,LYON PART DIEU,119.674679487,624,15,19,25.4210526316,0.552884615385,15,28.6,6,0,31.5789473684,26.3157894737,5.26315789474,21.0526315789,15.7894736842,0.0
3535,2016,3,MULHOUSE VILLE,PARIS LYON,167.679180887,293,7,22,26.2727272727,0.969283276451,16,31.3125,7,0,30.0,10.0,50.0,5.0,5.0,0.0
3536,2016,3,PARIS MONTPARNASSE,QUIMPER,268.623809524,210,5,17,65.5294117647,5.92857142857,17,65.5294118,11,5,57.142857142900006,14.2857142857,7.1428571428600005,0.0,21.4285714286,0.0
3537,2016,8,BELLEGARDE (AIN),PARIS LYON,163.050218341,229,0,19,22.736842105300003,0.890829694323,11,30.0,4,0,36.8421052632,26.3157894737,26.3157894737,5.26315789474,0.0,5.26315789474
3538,2016,8,PARIS LYON,MARSEILLE ST CHARLES,197.009278351,486,1,34,36.8235294118,4.85773195876,34,36.8235294,12,2,38.7096774194,3.22580645161,16.1290322581,32.2580645161,3.22580645161,6.451612903230001
3539,2016,8,NIMES,PARIS LYON,175.64986737400002,378,1,92,41.9239130435,10.0583554377,71,50.380281700000005,32,13,39.5604395604,24.175824175800003,17.5824175824,6.593406593409999,4.3956043956,7.692307692310001
3540,2016,8,NANTES,PARIS MONTPARNASSE,138.748181818,550,0,32,28.34375,1.42363636364,22,35.5,11,1,37.5,21.875,6.25,21.875,6.25,6.25
3541,2016,8,TOULOUSE MATABIAU,PARIS MONTPARNASSE,338.186486486,186,1,48,56.875,16.0972972973,48,56.875,30,15,43.75,22.9166666667,18.75,6.25,6.25,2.08333333333
3542,2016,8,LYON PART DIEU,RENNES,262.396341463,82,0,17,38.2352941176,10.2682926829,17,38.2352941,9,2,17.6470588235,29.4117647059,5.8823529411800015,29.4117647059,11.7647058824,5.8823529411800015
3543,2016,7,PARIS EST,METZ,85.2936507937,315,0,22,12.7272727273,0.711111111111,4,29.0,1,0,45.4545454545,18.1818181818,9.09090909091,4.54545454545,13.6363636364,9.09090909091
3544,2016,7,METZ,PARIS EST,86.07067137809999,283,0,47,19.6595744681,3.89399293286,18,35.6666667,8,2,17.3913043478,10.8695652174,56.52173913039999,8.69565217391,6.521739130429999,0.0
3545,2016,7,PARIS MONTPARNASSE,BORDEAUX ST JEAN,210.766766021,672,1,60,31.8833333333,4.529061102830001,59,32.0847458,24,4,19.298245614,31.5789473684,8.77192982456,15.7894736842,17.5438596491,7.017543859649999
3546,2016,7,ST PIERRE DES CORPS,PARIS MONTPARNASSE,69.8137931034,435,0,122,16.3770491803,4.96551724138,37,32.2702703,15,2,12.2807017544,41.2280701754,14.035087719299998,14.9122807018,9.64912280702,7.894736842109999
3547,2016,7,PARIS NORD,LILLE,65.6295918367,493,3,40,37.525,2.71836734694,24,55.7083333,13,3,25.0,21.4285714286,7.1428571428600005,17.8571428571,14.2857142857,14.2857142857
3548,2016,4,PARIS LYON,BELLEGARDE (AIN),163.8275,200,1,12,29.75,3.52,8,37.875,5,2,0.0,45.4545454545,27.2727272727,9.09090909091,9.09090909091,9.09090909091
3549,2016,4,PARIS LYON,ITALIE,263.549450549,91,0,13,26.6153846154,7.58241758242,13,26.6153846,3,1,30.7692307692,38.4615384615,7.692307692310001,0.0,7.692307692310001,15.3846153846
3550,2017,11,NANCY,PARIS EST,94.2006802721,294,0,21,19.7119047619,0.654365079365,12,0.652146892655,4,0,36.8421052632,5.26315789474,26.3157894737,10.5263157895,10.5263157895,10.5263157895
3551,2017,11,LYON PART DIEU,MARSEILLE ST CHARLES,103.621621622,485,4,122,32.4021857923,9.74757449757,104,9.74757449757,36,13,22.7272727273,27.2727272727,28.1818181818,18.1818181818,0.909090909091,2.72727272727
3552,2017,7,PARIS EST,METZ,86.2169491525,297,2,36,21.6944444444,2.32542372881,13,45.4820513,5,4,26.9230769231,38.4615384615,0.0,23.0769230769,11.538461538499998,0.0
3553,2017,7,PARIS LYON,NIMES,177.455497382,383,1,74,32.8648648649,8.104712041880001,53,41.0562893,23,10,23.2876712329,17.8082191781,23.2876712329,32.876712328800004,1.3698630137,1.3698630137
3554,2017,7,PARIS MONTPARNASSE,TOURS,73.03448275859999,148,3,38,25.5263157895,7.510344827589999,16,49.38125,9,4,7.407407407409999,55.5555555556,7.407407407409999,25.925925925900003,3.7037037037,0.0
3555,2017,7,PARIS EST,FRANCFORT,140.460227273,176,0,19,31.1052631579,2.94318181818,14,37.6547619,9,1,16.6666666667,50.0,5.555555555560001,27.7777777778,0.0,0.0
3556,2016,11,MULHOUSE VILLE,PARIS LYON,168.995033113,302,0,23,41.4347826087,3.72847682119,18,49.2777778,8,4,21.7391304348,13.0434782609,39.130434782600005,17.3913043478,4.34782608696,4.34782608696
3557,2016,11,TOULOUSE MATABIAU,PARIS MONTPARNASSE,341.433526012,175,2,53,34.5849056604,13.7687861272,53,34.5849057,15,9,16.9811320755,52.8301886792,11.320754717,9.43396226415,5.66037735849,3.77358490566
3558,2016,11,LILLE,LYON PART DIEU,190.134146341,287,0,28,27.75,4.1393728223,24,30.0,8,1,44.4444444444,11.1111111111,22.2222222222,11.1111111111,0.0,11.1111111111
3560,2017,6,METZ,PARIS EST,88.472972973,297,1,47,29.3617021277,3.5168918918900003,24,47.6909722,9,6,10.0,10.0,10.0,70.0,0.0,0.0
3561,2017,6,PARIS LYON,MACON LOCHE,95.8235294118,207,3,26,34.0384615385,4.50980392157,17,45.104902,9,3,80.0,0.0,0.0,20.0,0.0,0.0
3562,2017,6,PARIS MONTPARNASSE,QUIMPER,264.734693878,196,0,24,50.4583333333,7.36224489796,24,50.4583333,16,8,33.333333333300004,22.2222222222,0.0,22.2222222222,11.1111111111,11.1111111111
3563,2017,6,GENEVE,PARIS LYON,184.433789954,219,0,18,50.6111111111,4.114155251140001,15,58.29,8,6,36.3636363636,36.3636363636,0.0,9.09090909091,9.09090909091,9.09090909091
3564,2017,6,ITALIE,PARIS LYON,439.010989011,91,0,22,49.0909090909,13.9120879121,22,49.0356061,10,5,28.5714285714,14.2857142857,0.0,57.142857142900006,0.0,0.0
3565,2017,3,REIMS,PARIS EST,46.7419354839,217,0,14,18.0714285714,0.94930875576,7,28.8,3,0,11.1111111111,55.5555555556,0.0,22.2222222222,11.1111111111,0.0
3566,2017,3,GENEVE,PARIS LYON,190.071111111,225,0,25,26.92,2.08444444444,21,29.6,4,2,4.34782608696,60.8695652174,13.0434782609,17.3913043478,0.0,4.34782608696
3567,2017,3,PARIS LYON,ITALIE,409.272727273,88,0,13,63.6153846154,9.80681818182,13,63.4,9,4,15.3846153846,15.3846153846,38.4615384615,23.0769230769,7.692307692310001,0.0
3568,2017,5,AIX EN PROVENCE TGV,PARIS LYON,188.224489796,392,0,43,36.4186046512,4.35459183673,31,45.7655914,16,7,36.5853658537,21.9512195122,24.3902439024,14.6341463415,2.43902439024,0.0
3569,2017,5,CHAMBERY CHALLES LES EAUX,PARIS LYON,182.55319148900003,189,1,47,37.1063829787,9.41489361702,43,39.3410853,15,8,21.9512195122,34.1463414634,21.9512195122,14.6341463415,7.31707317073,0.0
3570,2017,5,PARIS LYON,MARSEILLE ST CHARLES,202.841607565,423,0,51,28.8039215686,5.0780141844,38,34.7754386,13,4,22.0,10.0,28.000000000000004,38.0,0.0,2.0
3571,2017,5,LYON PART DIEU,MONTPELLIER,111.245847176,303,2,55,41.2909090909,7.97009966777,44,48.5234848,27,9,35.5555555556,13.3333333333,20.0,26.6666666667,2.22222222222,2.22222222222
3572,2016,12,PARIS LYON,AVIGNON TGV,160.078389831,473,1,47,33.2684397163,4.6355932203400005,33,41.9808080808,13,5,35.0,12.5,30.0,20.0,0.0,2.5
3573,2016,12,PARIS MONTPARNASSE,NANTES,138.90173410399998,189,16,30,40.2722222222,7.85009633911,26,44.5865384615,14,5,42.3076923077,23.0769230769,7.692307692310001,23.0769230769,3.84615384615,0.0
3574,2016,12,PARIS MONTPARNASSE,RENNES,132.05973025,520,1,42,30.3928571429,3.45857418112,28,39.125,13,5,43.243243243200006,18.9189189189,8.10810810811,24.3243243243,0.0,5.40540540541
3575,2016,12,VANNES,PARIS MONTPARNASSE,207.182978723,237,2,17,35.7696078431,3.47113475177,12,45.1930555556,7,3,35.7142857143,42.8571428571,0.0,14.2857142857,7.1428571428600005,0.0
3576,2016,9,PARIS NORD,LILLE,62.26143790850001,612,0,50,19.04,1.80392156863,24,28.875,8,1,21.2765957447,21.2765957447,6.3829787234,17.021276595699998,27.6595744681,6.3829787234
3577,2016,9,LILLE,LYON PART DIEU,190.549657534,292,0,20,27.8,4.4897260274,16,31.4375,3,2,16.6666666667,11.1111111111,11.1111111111,33.333333333300004,22.2222222222,5.555555555560001
3579,2017,4,PARIS LYON,CHAMBERY CHALLES LES EAUX,180.05581395299998,215,0,32,27.9375,4.75348837209,20,37.1675,7,3,6.25,12.5,50.0,31.25,0.0,0.0
3580,2017,4,PARIS LYON,NICE VILLE,344.284313725,210,6,45,28.977777777800004,10.2401960784,45,28.9166667,18,2,25.0,15.909090909099998,29.5454545455,22.7272727273,4.54545454545,2.27272727273
3581,2017,4,PARIS MONTPARNASSE,TOURS,79.9820359281,169,2,22,18.0,2.59281437126,6,41.8722222,4,2,7.1428571428600005,71.4285714286,21.4285714286,0.0,0.0,0.0
3582,2017,4,ARRAS,PARIS NORD,57.2628205128,314,2,24,16.0833333333,0.894230769231,6,38.0527778,4,0,35.29411764709999,17.6470588235,41.1764705882,0.0,5.8823529411800015,0.0
3583,2017,2,LAVAL,PARIS MONTPARNASSE,100.245454545,220,0,19,42.9078947368,3.852196969700001,15,50.7077777778,8,5,25.0,50.0,0.0,18.75,6.25,0.0
3584,2017,2,PARIS MONTPARNASSE,POITIERS,103.896017699,458,6,24,44.045138888900006,1.6232300885000002,18,54.6898148148,12,7,33.333333333300004,27.7777777778,11.1111111111,22.2222222222,5.555555555560001,0.0
3585,2017,2,DOUAI,PARIS NORD,85.0785340314,191,0,19,14.7122807018,1.4320244328100002,4,38.4625,3,0,17.6470588235,17.6470588235,41.1764705882,23.5294117647,0.0,0.0
3586,2017,2,FRANCFORT,PARIS EST,200.605450734,159,0,20,24.5933333333,5.43846960168,18,25.9240740741,5,0,25.0,30.0,10.0,30.0,5.0,0.0
3587,2017,8,MARSEILLE ST CHARLES,PARIS LYON,197.964444444,450,0,108,35.0652777778,10.2521481481,73,46.197260274,33,13,20.0,28.5714285714,28.5714285714,14.2857142857,2.85714285714,5.71428571429
3588,2017,8,BREST,PARIS MONTPARNASSE,225.507751938,259,1,30,27.1266666667,5.609366925060001,28,28.2202380952,9,1,4.34782608696,60.8695652174,8.69565217391,17.3913043478,0.0,8.69565217391
3589,2017,8,PARIS MONTPARNASSE,QUIMPER,221.119533528,345,2,43,35.2093023256,6.2580174927100005,43,35.2093023256,15,5,19.0476190476,16.6666666667,0.0,52.38095238100001,2.38095238095,9.523809523810002
3590,2017,8,PARIS NORD,LILLE,62.2096385542,416,1,42,16.704365079400002,2.16670682731,10,42.4433333333,6,2,20.0,3.3333333333299984,36.6666666667,23.3333333333,16.6666666667,0.0
3591,2017,1,BELLEGARDE (AIN),PARIS LYON,162.765182186,249,2,30,21.365,1.30708502024,17,28.4950980392,6,0,21.4285714286,28.5714285714,17.8571428571,14.2857142857,7.1428571428600005,10.7142857143
3592,2017,1,BORDEAUX ST JEAN,PARIS MONTPARNASSE,205.387640449,734,22,118,43.8398305085,8.42848782772,99,49.7661616162,45,19,42.5742574257,32.6732673267,6.930693069309998,16.8316831683,0.990099009901,0.0
3593,2017,1,BREST,PARIS MONTPARNASSE,269.856521739,234,4,15,46.1333333333,4.33268115942,15,46.1333333333,9,5,76.9230769231,15.3846153846,0.0,0.0,0.0,7.692307692310001
3594,2017,1,PARIS EST,STUTTGART,121.215277778,147,3,22,27.2515151515,5.07164351852,16,32.4083333333,8,1,25.0,20.0,5.0,50.0,0.0,0.0
3595,2017,1,PARIS MONTPARNASSE,QUIMPER,268.518134715,193,0,15,41.4333333333,4.16580310881,15,41.4333333333,9,3,54.545454545500014,9.09090909091,0.0,36.3636363636,0.0,0.0
3596,2017,9,AVIGNON TGV,PARIS LYON,161.241121495,538,3,89,28.552059925100004,6.38009345794,62,35.9497311828,29,10,19.0476190476,28.5714285714,40.4761904762,9.523809523810002,2.38095238095,0.0
3597,2017,9,PERPIGNAN,PARIS LYON,303.152046784,171,0,29,30.8373563218,6.42621832359,29,30.8373563218,8,2,33.333333333300004,40.740740740700005,14.8148148148,3.7037037037,3.7037037037,3.7037037037
3598,2017,9,VALENCE ALIXAN TGV,PARIS LYON,133.519855596,280,3,60,27.3375,6.111552346569999,43,33.2662790698,13,5,18.8679245283,37.7358490566,33.962264150900005,7.54716981132,0.0,1.88679245283
3599,2017,9,LYON PART DIEU,LILLE,186.5,298,2,105,23.0242857143,10.022972973,78,26.811965812,10,3,16.6666666667,26.190476190500004,35.7142857143,4.7619047619,10.7142857143,5.95238095238
3600,2017,9,FRANCFORT,PARIS EST,190.613481953,157,0,48,29.64375,12.3419320594,44,31.1621212121,18,2,21.7391304348,41.3043478261,15.217391304299998,8.69565217391,0.0,13.0434782609
3601,2017,9,ZURICH,PARIS LYON,238.447011494,145,0,6,27.1388888889,2.46885057471,6,27.1388888889,1,0,16.6666666667,33.333333333300004,0.0,50.0,0.0,0.0
3602,2015,4,MONTPELLIER,LYON PART DIEU,109.75,324,0,60,25.0,7.796296296299999,35,33.6857143,7,3,22.033898305100003,61.0169491525,5.08474576271,5.08474576271,6.7796610169500005,0.0
3603,2017,12,PARIS MONTPARNASSE,POITIERS,93.7051546392,491,6,99,20.1720538721,5.27006872852,43,5.27006872852,21,3,15.2777777778,12.5,22.2222222222,44.4444444444,4.16666666667,1.38888888889
3604,2015,2,PARIS LYON,LYON PART DIEU,120.455497382,574,1,24,30.0833333333,1.13438045375,16,38.5625,7,2,20.8333333333,37.5,4.16666666667,20.8333333333,4.16666666667,12.5
3605,2015,2,NANTES,PARIS MONTPARNASSE,137.81980198,506,1,94,34.5,7.148514851489999,74,40.472973,32,7,24.0506329114,49.3670886076,6.32911392405,8.860759493669997,8.860759493669997,2.53164556962
3606,2015,2,TOULOUSE MATABIAU,PARIS MONTPARNASSE,340.0,155,0,17,44.3529411765,4.6774193548400005,17,44.3529412,7,3,60.0,20.0,6.666666666669999,13.3333333333,0.0,0.0
3607,2015,2,PARIS MONTPARNASSE,TOURS,75.8879310345,174,0,31,11.7096774194,2.8275862069,7,19.2857143,0,0,7.692307692310001,57.692307692300005,11.538461538499998,11.538461538499998,7.692307692310001,3.84615384615
3608,2015,2,PARIS MONTPARNASSE,VANNES,201.053797468,158,0,14,62.0,6.42405063291,14,62.0,9,5,33.333333333300004,33.333333333300004,0.0,11.1111111111,22.2222222222,0.0
3610,2015,9,BESANCON FRANCHE COMTE TGV,PARIS LYON,130.921171171,222,0,18,33.1111111111,2.6396396396400004,10,49.8,4,3,41.1764705882,23.5294117647,23.5294117647,11.7647058824,0.0,0.0
3611,2015,9,PARIS MONTPARNASSE,QUIMPER,265.24,200,0,23,35.8260869565,4.695,23,35.826087,6,3,28.5714285714,38.0952380952,9.523809523810002,9.523809523810002,14.2857142857,0.0
3612,2015,9,ITALIE,PARIS LYON,254.174418605,86,0,11,42.0,7.13953488372,11,42.0,4,2,54.545454545500014,18.1818181818,18.1818181818,0.0,9.09090909091,0.0
3613,2015,8,PARIS MONTPARNASSE,LA ROCHELLE VILLE,196.36,225,0,14,45.2857142857,4.98666666667,14,45.2857143,7,4,57.142857142900006,21.4285714286,14.2857142857,7.1428571428600005,0.0,0.0
3614,2015,8,QUIMPER,PARIS MONTPARNASSE,278.553333333,225,0,20,75.05,6.05777777778,20,75.05,11,8,85.0,10.0,0.0,0.0,5.0,0.0
3615,2015,8,LYON PART DIEU,RENNES,261.690217391,92,0,25,50.92,16.25,25,50.92,13,5,32.0,28.000000000000004,0.0,32.0,4.0,4.0
3616,2015,3,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,171.89423076900002,104,0,6,17.8333333333,2.49038461538,3,24.0,0,0,0.0,50.0,0.0,50.0,0.0,0.0
3617,2015,3,BREST,PARIS MONTPARNASSE,271.376623377,231,0,13,32.6923076923,1.96103896104,13,32.6923077,2,1,61.5384615385,38.4615384615,0.0,0.0,0.0,0.0
3618,2015,3,PARIS MONTPARNASSE,ST PIERRE DES CORPS,62.2641304348,460,0,23,15.3913043478,0.413043478261,7,28.5714286,2,0,39.130434782600005,30.4347826087,8.69565217391,8.69565217391,13.0434782609,0.0
3619,2015,3,PARIS MONTPARNASSE,TOURS,73.8664921466,191,0,15,14.1333333333,1.52879581152,5,25.6,2,0,28.5714285714,28.5714285714,7.1428571428600005,21.4285714286,14.2857142857,0.0
3620,2015,4,PARIS LYON,TOULON,234.564981949,277,0,70,31.528571428600003,12.6317689531,70,31.5285714,26,6,14.2857142857,50.0,8.57142857143,17.1428571429,8.57142857143,1.42857142857
3621,2015,4,TOULON,PARIS LYON,235.535714286,240,2,75,36.5733333333,13.9789915966,75,36.5733333,29,9,28.000000000000004,38.6666666667,14.6666666667,10.6666666667,4.0,4.0
3622,2015,4,LAVAL,PARIS MONTPARNASSE,104.091880342,234,0,7,25.5714285714,0.833333333333,3,43.6666667,1,1,28.5714285714,28.5714285714,42.8571428571,0.0,0.0,0.0
3623,2015,10,PARIS EST,STRASBOURG,143.317567568,444,0,29,20.7931034483,2.06981981982,14,29.0,4,0,10.7142857143,42.8571428571,25.0,10.7142857143,3.5714285714300003,7.1428571428600005
3624,2015,10,AVIGNON TGV,PARIS LYON,164.15461121200002,568,15,103,31.6019417476,5.321880650990001,78,37.6794872,33,9,40.625,21.875,9.375,16.6666666667,8.333333333330001,3.125
3625,2015,10,PARIS LYON,DIJON VILLE,95.9430107527,465,0,23,20.565217391300003,1.13978494624,11,29.9090909,4,1,33.333333333300004,28.5714285714,4.7619047619,9.523809523810002,19.0476190476,4.7619047619
3626,2015,10,MONTPELLIER,PARIS LYON,206.69139465900005,337,0,45,37.0,3.910979228490001,45,37.0,20,3,39.0243902439,39.0243902439,7.31707317073,7.31707317073,4.87804878049,2.43902439024
3627,2015,10,PARIS MONTPARNASSE,QUIMPER,267.69154228900004,201,0,17,42.411764705900005,4.45273631841,17,42.411764700000006,9,3,7.1428571428600005,42.8571428571,21.4285714286,21.4285714286,0.0,7.1428571428600005
3628,2015,10,RENNES,PARIS MONTPARNASSE,134.957746479,568,0,46,44.0869565217,3.85035211268,32,57.625,23,9,15.217391304299998,67.3913043478,6.521739130429999,8.69565217391,0.0,2.17391304348
3629,2015,10,PARIS MONTPARNASSE,TOURS,73.8221649485,194,0,24,13.75,2.56701030928,7,25.142857100000004,1,0,25.0,29.1666666667,12.5,4.16666666667,25.0,4.16666666667
3630,2015,10,LILLE,MARSEILLE ST CHARLES,298.066985646,209,0,35,44.7428571429,8.2966507177,35,44.7428571,15,8,34.375,15.625,25.0,6.25,12.5,6.25
3631,2016,4,REIMS,PARIS EST,46.5328282828,198,7,19,15.5789473684,1.02525252525,7,26.8571429,2,0,0.0,33.333333333300004,16.6666666667,22.2222222222,27.7777777778,0.0
3632,2016,4,PARIS LYON,DIJON VILLE,96.0421836228,403,6,17,20.2352941176,1.00248138958,9,27.8888889,3,0,35.29411764709999,17.6470588235,17.6470588235,17.6470588235,11.7647058824,0.0
3633,2016,4,PARIS LYON,LYON PART DIEU,119.879396985,597,11,16,22.9375,0.294807370184,9,30.5555556,3,1,40.0,20.0,20.0,6.666666666669999,13.3333333333,0.0
3634,2016,4,PARIS LYON,MARSEILLE ST CHARLES,204.163265306,441,8,17,37.0,2.45124716553,17,37.0,10,2,47.0588235294,0.0,5.8823529411800015,23.5294117647,23.5294117647,0.0
3635,2016,4,MULHOUSE VILLE,PARIS LYON,168.527372263,274,4,17,21.2941176471,0.671532846715,11,25.8181818,2,0,18.75,25.0,37.5,12.5,0.0,6.25
3636,2016,4,POITIERS,PARIS MONTPARNASSE,103.988347458,472,10,36,24.9166666667,1.88559322034,24,31.25,9,1,22.8571428571,22.8571428571,22.8571428571,11.4285714286,17.1428571429,2.85714285714
3637,2016,4,PARIS MONTPARNASSE,QUIMPER,265.320895522,201,3,12,38.9166666667,2.8308457711400004,12,38.9166667,7,2,16.6666666667,16.6666666667,25.0,16.6666666667,16.6666666667,8.333333333330001
3638,2016,4,RENNES,PARIS MONTPARNASSE,133.272394881,547,8,69,41.4637681159,5.89213893967,53,50.1886792,25,15,14.4927536232,31.884057971,23.1884057971,14.4927536232,15.9420289855,0.0
3639,2016,5,PARIS LYON,AVIGNON TGV,165.221442886,499,0,42,37.1666666667,1.84569138277,31,45.8387097,10,8,69.04761904760001,14.2857142857,2.38095238095,9.523809523810002,4.7619047619,0.0
3640,2016,5,DIJON VILLE,PARIS LYON,97.4255319149,423,0,29,33.8965517241,1.1536643026,22,40.8181818,13,4,35.7142857143,28.5714285714,25.0,10.7142857143,0.0,0.0
3641,2016,5,MACON LOCHE,PARIS LYON,99.1915422886,201,0,32,29.09375,4.358208955219999,27,32.037037,11,2,18.75,25.0,28.125,3.125,15.625,9.375
3642,2016,5,TOULON,PARIS LYON,237.846014493,276,0,42,62.571428571400006,8.67028985507,42,62.5714286,28,15,63.4146341463,9.75609756098,7.31707317073,9.75609756098,7.31707317073,2.43902439024
3643,2016,5,PARIS MONTPARNASSE,LA ROCHELLE VILLE,196.35,60,0,1,148.0,4.9,1,148.0,1,1,0.0,0.0,100.0,0.0,0.0,0.0
3644,2016,5,TOULOUSE MATABIAU,PARIS MONTPARNASSE,340.646496815,157,0,43,57.7441860465,18.8917197452,42,58.4285714,15,10,21.621621621600003,45.9459459459,8.10810810811,8.10810810811,16.2162162162,0.0
3646,2016,5,DOUAI,PARIS NORD,77.02030456850001,197,0,19,24.1052631579,2.88324873096,9,39.7777778,2,1,26.3157894737,26.3157894737,10.5263157895,10.5263157895,10.5263157895,15.7894736842
3647,2016,5,STUTTGART,PARIS EST,148.601851852,108,0,18,20.0555555556,3.675925925930001,11,25.3636364,3,0,22.2222222222,27.7777777778,44.4444444444,5.555555555560001,0.0,0.0
3648,2016,3,PARIS MONTPARNASSE,LE MANS,55.5273348519,439,13,43,24.604651162800003,2.50797266515,17,48.0,9,5,44.1176470588,8.823529411760003,2.9411764705900003,14.705882352899998,23.5294117647,5.8823529411800015
3650,2016,3,MARSEILLE ST CHARLES,LYON PART DIEU,103.950925926,540,16,69,30.3333333333,6.157407407409999,48,38.0625,17,7,39.70588235290001,33.8235294118,5.8823529411800015,11.7647058824,7.35294117647,1.47058823529
3651,2016,3,LYON PART DIEU,MONTPELLIER,118.035310734,354,15,50,29.98,4.214689265540001,33,38.7272727,18,6,29.7872340426,19.1489361702,21.2765957447,21.2765957447,4.25531914894,4.25531914894
3652,2016,6,NIMES,PARIS LYON,175.133333333,285,56,76,53.802631578900005,13.7122807018,69,57.9565217,43,23,30.6666666667,53.3333333333,4.0,6.666666666669999,1.33333333333,4.0
3653,2016,6,PERPIGNAN,PARIS LYON,304.356617647,136,11,46,54.8913043478,18.6323529412,46,54.8913043,27,12,30.4347826087,52.1739130435,6.521739130429999,4.34782608696,2.17391304348,4.34782608696
3654,2016,6,PARIS EST,FRANCFORT,100.127737226,137,0,12,30.4166666667,3.05839416058,9,36.2222222,3,1,25.0,50.0,0.0,25.0,0.0,0.0
3655,2016,6,PARIS LYON,ITALIE,261.910714286,56,0,11,34.3636363636,11.0714285714,11,34.3636364,1,1,11.1111111111,33.333333333300004,22.2222222222,22.2222222222,11.1111111111,0.0
3656,2015,12,PARIS LYON,NICE VILLE,339.146766169,201,0,19,46.7894736842,5.6815920398,19,46.7894737,9,4,21.0526315789,5.26315789474,47.368421052600006,15.7894736842,10.5263157895,0.0
3657,2015,12,PARIS MONTPARNASSE,ST MALO,184.262376238,101,0,8,43.875,3.39603960396,8,43.875,4,1,62.5,25.0,0.0,12.5,0.0,0.0
3660,2016,1,PARIS LYON,MULHOUSE VILLE,167.131474104,251,0,29,30.5862068966,4.36653386454,20,38.75,11,2,39.2857142857,28.5714285714,7.1428571428600005,10.7142857143,10.7142857143,3.5714285714300003
3661,2016,1,NICE VILLE,PARIS LYON,342.223214286,168,3,16,40.5,2.5892857142900003,16,40.5,8,2,37.5,18.75,12.5,18.75,6.25,6.25
3662,2016,1,PARIS MONTPARNASSE,LE MANS,55.4820512821,390,0,14,14.6428571429,0.7769230769230001,6,22.5,0,0,7.1428571428600005,21.4285714286,14.2857142857,28.5714285714,21.4285714286,7.1428571428600005
3663,2016,1,QUIMPER,PARIS MONTPARNASSE,277.739583333,192,0,6,44.6666666667,2.32291666667,6,44.6666667,3,1,16.6666666667,33.333333333300004,50.0,0.0,0.0,0.0
3664,2015,11,PARIS MONTPARNASSE,LA ROCHELLE VILLE,194.48630137,219,0,13,29.7692307692,3.77168949772,13,29.769230800000003,5,0,66.6666666667,16.6666666667,8.333333333330001,0.0,0.0,8.333333333330001
3665,2016,2,PARIS MONTPARNASSE,POITIERS,104.349272349,481,0,18,27.3333333333,0.8295218295219999,12,34.5,5,2,35.29411764709999,29.4117647059,5.8823529411800015,11.7647058824,17.6470588235,0.0
3666,2017,3,PARIS LYON,VALENCE ALIXAN TGV,131.710526316,308,4,21,27.8571428571,2.86184210526,11,42.4,4,3,33.333333333300004,19.0476190476,14.2857142857,28.5714285714,4.7619047619,0.0
